"length","width","size","conc1","conc2","asym","long","trans","alpha","dist"
75.1362,30.9205,3.1611,0.3168,0.1832,-5.5277,28.5525,21.8393,1.46830585250958,356.462
51.624,21.1502,2.9085,0.242,0.134,50.8761,43.1887,9.8145,1.37869115821283,238.098
48.2468,17.3565,3.0332,0.2529,0.1515,8.573,38.0957,10.5868,1.47954848747918,219.087
62.7766,29.9104,3.3331,0.2475,0.1261,-33.9065,57.5848,23.771,1.77446161503045,323.094
29.4741,22.4581,2.6258,0.3077,0.174,18.1242,22.7035,13.1673,2.63264689545794,214.126
46.0588,18.787,3.2217,0.2431,0.1504,49.2704,34.1066,10.7955,1.71674169955014,180.783
44.7394,15.6364,2.638,0.3107,0.1715,14.043,37.2246,12.4183,1.3427780779037,221.806
27.2304,19.2817,2.6375,0.371,0.2039,23.0406,23.3428,9.7216,2.96741650987453,104.283
34.9205,15.9621,2.8457,0.3267,0.1762,15.8025,11.8249,11.9768,1.75976490288913,154.712
84.61,36.4657,3.6809,0.1393,0.0714,54.4505,86.0228,16.1472,2.04749963693548,258.597
37.742,24.3346,3.0404,0.2478,0.1508,5.998,34.4104,13.7756,2.2183271880059,131.601
27.6746,18.9149,2.5422,0.3759,0.2224,30.937,20.242,15.143,2.09793995743228,223.241
18.6533,15.1674,2.4338,0.523,0.337,-4.2971,16.0316,8.0971,1.48015019035189,55.7509
38.1627,25.1091,3.1041,0.247,0.1279,37.2749,22.8564,16.227,1.53223483760966,188.124
63.2886,26.427,3.4434,0.2342,0.1273,-27.3566,54.6506,19.7834,0.993766965705734,302.897
43.7724,20.353,2.8982,0.2743,0.141,32.9358,38.4208,11.1037,2.00776713643522,273.837
99.6416,13.5477,2.4362,0.3846,0.1996,48.7119,92.2613,7.7025,2.93856833217479,57.7231
96.3755,31.3902,3.359,0.2179,0.1376,-34.801,61.0636,20.5479,1.76850753535739,307.321
49.6143,28.1482,3.2641,0.1769,0.089,44.0893,26.0127,22.939,0.904729394452974,150.761
26.9766,9.7238,2.3064,0.4593,0.2395,-12.3167,16.287,1.6476,1.38456814612647,197.338
29.817,19.8364,2.7372,0.3718,0.239,10.0066,23.9409,15.0702,1.99789668437315,222.184
92.937,22.1354,3.0885,0.3108,0.1937,18.6509,48.5227,14.2821,1.3674892093822,358.99
86.5636,36.8235,3.8026,0.1508,0.0809,-24.0564,60.9768,26.1668,1.27504141304886,306.55
39.3737,12.0817,2.7763,0.3213,0.1615,18.1724,13.6391,6.5266,1.39110546355926,201.01
41.2629,20.9786,3.1361,0.2807,0.1626,23.2559,43.3331,12.715,1.66116663452847,219.077
89.8648,33.6384,3.8899,0.1487,0.0805,22.0971,98.5182,14.069,1.38588490286514,158.618
34.889,19.6402,2.8429,0.3747,0.2534,29.9825,29.1531,12.4846,1.7012148583367,227.336
41.0677,16.2578,2.7308,0.3532,0.1812,47.4405,37.9125,16.1237,2.05028994443004,213.317
